timestamp,is_bot,loc_x,loc_y,loc_z,s_x,s_y,s_z,d_a,d_p,d_e,tar
0,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
1,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
2,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
3,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
4,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
5,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
6,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
7,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
8,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
9,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
10,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
11,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
12,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
13,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
14,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
15,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
16,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
17,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
18,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
19,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
20,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
21,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
22,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
23,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
24,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
25,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
26,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
27,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
28,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
29,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
30,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
31,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
32,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
33,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
34,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
35,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
36,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
37,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
38,0.0,-881.699646,-321.433228,-107.520256,0.9766294433,0.047791017,0.2095493958,0.037830038,210.1508050922,771.3373432972,1.0
