timestamp,is_bot,loc_x,loc_y,loc_z,s_x,s_y,s_z,d_a,d_p,d_e,tar
1488,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1489,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1490,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1491,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1492,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1493,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1494,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1495,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1496,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1497,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1498,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1499,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1500,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1501,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1502,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1503,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1504,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1505,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1506,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1507,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1508,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1509,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1510,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1511,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1512,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1513,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1514,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1515,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1516,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1517,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1518,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1519,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1520,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1521,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1522,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1523,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1524,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1525,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1526,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1527,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1528,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1529,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1530,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1531,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1532,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1533,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1534,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1535,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1536,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1537,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1538,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1539,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1540,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1541,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1542,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1543,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1544,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1545,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1546,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1547,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1548,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1549,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1550,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1551,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1552,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1553,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1554,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1555,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1556,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1557,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1558,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1559,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1560,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1561,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1562,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
1563,0.0,378.416595,2093.427734,143.670029,1.0,0.0,0.0,,,,
